State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
NY,SULLIVAN,2,50,1,2.0,2.0
OH,HIGHLAND,2,50,0,3.0,3.0
WA,STEVENS,2,0,0,3.5,3.5
PA,DAUPHIN,2,0,2,3.5,3.5
IN,CLARK,2,0,2,2.0,2.0
KY,PIKE,2,50,2,1.5,1.5
MN,LAC QUI PARLE,2,50,0,nan,nan
NY,MADISON,2,50,1,3.5,3.5
OK,CADDO,2,50,0,nan,nan
MS,PIKE,2,0,2,3.5,3.5
IA,LINN,2,50,2,4.0,4.0
MS,DESOTO,2,100,2,2.5,2.5
NC,CLEVELAND,2,0,2,4.0,4.0
WI,TREMPEALEAU,2,50,0,nan,nan
AR,ARKANSAS,2,100,1,4.0,4.0
NE,PIERCE,2,50,0,nan,nan
IL,DEKALB,2,100,1,3.5,3.5
MS,SUNFLOWER,2,0,1,3.0,3.0
IL,HENRY,2,0,0,4.0,4.0
MN,WABASHA,2,100,0,4.0,4.0
OH,WAYNE,2,50,1,4.0,4.0
VA,ARLINGTON,2,100,2,4.0,4.0
WI,SHEBOYGAN,2,100,2,4.5,4.5
IA,CARROLL,2,50,1,4.0,4.0
WA,CLALLAM,2,0,1,3.0,3.0
IL,CHRISTIAN,2,100,0,3.5,3.5
IL,BUREAU,2,50,1,3.5,3.5
OH,CLARK,2,100,2,4.0,4.0
KS,BROWN,2,50,0,3.0,3.0
WV,RALEIGH,2,50,2,2.5,2.5
MN,LYON,2,100,0,3.0,3.0
KS,MARION,2,0,0,nan,nan
WI,LINCOLN,2,0,0,4.0,4.0
KS,POTTAWATOMIE,2,0,0,4.0,4.0
PR,SAN GERMAN,2,0,2,nan,nan
FL,JACKSON,2,0,1,2.0,2.0
AL,LIMESTONE,2,0,2,2.0,2.0
KY,MADISON,2,100,1,3.5,3.5
KS,RENO,2,0,2,2.0,2.0
CA,EL DORADO,2,100,2,4.0,4.0
IL,CHAMPAIGN,2,50,2,3.0,3.0
OK,LINCOLN,2,50,0,nan,nan
SC,PICKENS,2,100,2,3.5,3.5
MO,JEFFERSON,2,100,2,2.5,2.5
PA,SUSQUEHANNA,2,100,0,3.0,3.0
IA,STORY,2,0,1,5.0,5.0
IN,LAWRENCE,2,100,0,3.5,3.5
OH,TUSCARAWAS,2,0,1,4.0,4.0
CO,GARFIELD,2,50,1,4.0,4.0
MO,GREENE,2,100,2,3.5,3.5
TN,MADISON,2,0,2,2.0,2.0
FL,MARION,2,0,2,1.5,1.5
OH,GREENE,2,100,2,2.5,2.5
PA,FAYETTE,2,50,2,3.0,3.0
SC,SPARTANBURG,2,0,2,2.0,2.0
OK,CANADIAN,2,50,2,3.0,3.0
TX,MILAM,2,0,1,nan,nan
FL,CLAY,2,50,2,3.0,3.0
CA,IMPERIAL,2,0,2,2.0,2.0
NM,CIBOLA,2,0,1,3.0,3.0
MA,BARNSTABLE,2,100,2,4.5,4.5
NE,BUFFALO,2,0,2,3.5,3.5
AZ,LA PAZ,2,50,0,3.0,3.0
